"filename", "language", "JSON", "Markdown", "JavaScript", "XML", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\HP\Desktop\anonymous-gc-frontend\.eslintrc.cjs", "JavaScript", 0, 0, 20, 0, 0, 0, 0, 1, 21
"c:\Users\HP\Desktop\anonymous-gc-frontend\README.md", "Markdown", 0, 5, 0, 0, 0, 0, 0, 4, 9
"c:\Users\HP\Desktop\anonymous-gc-frontend\index.html", "HTML", 0, 0, 0, 0, 0, 13, 0, 3, 16
"c:\Users\HP\Desktop\anonymous-gc-frontend\package-lock.json", "JSON", 5460, 0, 0, 0, 0, 0, 0, 1, 5461
"c:\Users\HP\Desktop\anonymous-gc-frontend\package.json", "JSON", 43, 0, 0, 0, 0, 0, 0, 1, 44
"c:\Users\HP\Desktop\anonymous-gc-frontend\postcss.config.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 1, 7
"c:\Users\HP\Desktop\anonymous-gc-frontend\public\vite.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\HP\Desktop\anonymous-gc-frontend\src\App.jsx", "JavaScript", 0, 0, 255, 0, 0, 0, 0, 25, 280
"c:\Users\HP\Desktop\anonymous-gc-frontend\src\ContextProvider.jsx", "JavaScript", 0, 0, 31, 0, 0, 0, 2, 4, 37
"c:\Users\HP\Desktop\anonymous-gc-frontend\src\assets\react.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\HP\Desktop\anonymous-gc-frontend\src\axiosConfig.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 3, 13
"c:\Users\HP\Desktop\anonymous-gc-frontend\src\components\Button.jsx", "JavaScript", 0, 0, 28, 0, 0, 0, 1, 3, 32
"c:\Users\HP\Desktop\anonymous-gc-frontend\src\components\Sidebar.jsx", "JavaScript", 0, 0, 163, 0, 0, 0, 0, 8, 171
"c:\Users\HP\Desktop\anonymous-gc-frontend\src\components\TextInput.jsx", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 2, 6
"c:\Users\HP\Desktop\anonymous-gc-frontend\src\components\UserCard.jsx", "JavaScript", 0, 0, 26, 0, 0, 0, 0, 2, 28
"c:\Users\HP\Desktop\anonymous-gc-frontend\src\components\chat\ChatFooter.jsx", "JavaScript", 0, 0, 162, 0, 0, 0, 44, 21, 227
"c:\Users\HP\Desktop\anonymous-gc-frontend\src\components\chat\ChatHeader.jsx", "JavaScript", 0, 0, 136, 0, 0, 0, 0, 10, 146
"c:\Users\HP\Desktop\anonymous-gc-frontend\src\components\chat\ChatMessages.jsx", "JavaScript", 0, 0, 235, 0, 0, 0, 0, 21, 256
"c:\Users\HP\Desktop\anonymous-gc-frontend\src\components\chat\EmojiBox.jsx", "JavaScript", 0, 0, 23, 0, 0, 0, 0, 6, 29
"c:\Users\HP\Desktop\anonymous-gc-frontend\src\components\chat\ForwardMessageModal.jsx", "JavaScript", 0, 0, 333, 0, 0, 0, 0, 25, 358
"c:\Users\HP\Desktop\anonymous-gc-frontend\src\components\chat\MessageFromMe.jsx", "JavaScript", 0, 0, 86, 0, 0, 0, 0, 7, 93
"c:\Users\HP\Desktop\anonymous-gc-frontend\src\components\chat\MessageFromOther.jsx", "JavaScript", 0, 0, 103, 0, 0, 0, 0, 11, 114
"c:\Users\HP\Desktop\anonymous-gc-frontend\src\components\chat\MessageMenu.jsx", "JavaScript", 0, 0, 134, 0, 0, 0, 0, 8, 142
"c:\Users\HP\Desktop\anonymous-gc-frontend\src\components\chat\OnlineUsersModal.jsx", "JavaScript", 0, 0, 56, 0, 0, 0, 0, 6, 62
"c:\Users\HP\Desktop\anonymous-gc-frontend\src\components\chatflow\CreateFlowModal.jsx", "JavaScript", 0, 0, 64, 0, 0, 0, 0, 9, 73
"c:\Users\HP\Desktop\anonymous-gc-frontend\src\components\chatflow\Step1.jsx", "JavaScript", 0, 0, 66, 0, 0, 0, 0, 5, 71
"c:\Users\HP\Desktop\anonymous-gc-frontend\src\components\chatflow\Step2.jsx", "JavaScript", 0, 0, 268, 0, 0, 0, 0, 16, 284
"c:\Users\HP\Desktop\anonymous-gc-frontend\src\components\chatflow\UpdateRecipientsModal.jsx", "JavaScript", 0, 0, 42, 0, 0, 0, 0, 8, 50
"c:\Users\HP\Desktop\anonymous-gc-frontend\src\components\employees\DeleteUserModal.jsx", "JavaScript", 0, 0, 107, 0, 0, 0, 0, 7, 114
"c:\Users\HP\Desktop\anonymous-gc-frontend\src\components\employees\UpdateUserModal.jsx", "JavaScript", 0, 0, 228, 0, 0, 0, 0, 27, 255
"c:\Users\HP\Desktop\anonymous-gc-frontend\src\components\sidebar\SidebarItem.jsx", "JavaScript", 0, 0, 21, 0, 0, 0, 0, 3, 24
"c:\Users\HP\Desktop\anonymous-gc-frontend\src\components\utils\Loader.jsx", "JavaScript", 0, 0, 23, 0, 0, 0, 0, 3, 26
"c:\Users\HP\Desktop\anonymous-gc-frontend\src\css\animations.css", "CSS", 0, 0, 0, 0, 114, 0, 0, 22, 136
"c:\Users\HP\Desktop\anonymous-gc-frontend\src\index.css", "CSS", 0, 0, 0, 0, 69, 0, 0, 16, 85
"c:\Users\HP\Desktop\anonymous-gc-frontend\src\main.jsx", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 2, 15
"c:\Users\HP\Desktop\anonymous-gc-frontend\src\pages\Auth.jsx", "JavaScript", 0, 0, 113, 0, 0, 0, 0, 9, 122
"c:\Users\HP\Desktop\anonymous-gc-frontend\src\pages\Chat\index.jsx", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 3, 16
"c:\Users\HP\Desktop\anonymous-gc-frontend\src\pages\Dashboard\Info.jsx", "JavaScript", 0, 0, 62, 0, 0, 0, 0, 11, 73
"c:\Users\HP\Desktop\anonymous-gc-frontend\src\pages\Dashboard\Weather.jsx", "JavaScript", 0, 0, 20, 0, 0, 0, 0, 4, 24
"c:\Users\HP\Desktop\anonymous-gc-frontend\src\pages\Dashboard\index.jsx", "JavaScript", 0, 0, 34, 0, 0, 0, 1, 5, 40
"c:\Users\HP\Desktop\anonymous-gc-frontend\src\pages\Employees\AddEmployee.jsx", "JavaScript", 0, 0, 166, 0, 0, 0, 0, 28, 194
"c:\Users\HP\Desktop\anonymous-gc-frontend\src\pages\Employees\ChatFlow.jsx", "JavaScript", 0, 0, 95, 0, 0, 0, 0, 7, 102
"c:\Users\HP\Desktop\anonymous-gc-frontend\src\pages\Employees\ViewEmployees.jsx", "JavaScript", 0, 0, 204, 0, 0, 0, 0, 12, 216
"c:\Users\HP\Desktop\anonymous-gc-frontend\src\pages\Employees\index.jsx", "JavaScript", 0, 0, 65, 0, 0, 0, 0, 5, 70
"c:\Users\HP\Desktop\anonymous-gc-frontend\src\pages\Settings\index.jsx", "JavaScript", 0, 0, 238, 0, 0, 0, 22, 16, 276
"c:\Users\HP\Desktop\anonymous-gc-frontend\tailwind.config.js", "JavaScript", 0, 0, 10, 0, 0, 0, 1, 2, 13
"c:\Users\HP\Desktop\anonymous-gc-frontend\vite.config.js", "JavaScript", 0, 0, 5, 0, 0, 0, 1, 2, 8
"Total", "-", 5503, 5, 3668, 2, 183, 13, 72, 395, 9841